position,company,City,State
Data Scientist,Xpert Staffing,ATLANTA,GA
Data Analyst,Operation HOPE,ATLANTA,GA
Data Scientist,Cotiviti,ATLANTA,GA
Data Scientist,Relus Cloud,ATLANTA,GA
Data Scientist,Inspire Brands,ATLANTA,GA
Data Scientist,Norfolk Southern Corp,ATLANTA,GA
Data Scientist,AirSage,ATLANTA,GA
Data Scientist,Catalina Marketing,ATLANTA,GA
Data Scientist,SalesLoft,ATLANTA,GA
Data Scientist,McKesson,ATLANTA,GA
Data Scientist,The Intersect Group,ATLANTA,GA
Data Scientist,OM Partners,ATLANTA,GA
Data Scientist,Cotiviti,ATLANTA,GA
Data Scientist,Norfolk Southern Corp,ATLANTA,GA
Data Scientist,Norfolk Southern Corp,ATLANTA,GA
Data Engineer,Gallup,ATLANTA,GA
Data Scientist,MacDermid Inc.,ATLANTA,GA
Data Analyst,Evident,ATLANTA,GA
Data Analyst,GreenSky,ATLANTA,GA
Data Scientist,PreVisor,ATLANTA,GA
Data Analyst,Voya Financial,ATLANTA,GA
Data Analyst,"Epiq Systems, Inc.",ATLANTA,GA
Data Analyst,Intercontinental Exchange,ATLANTA,GA
Data Engineer,ThoughtWorks,ATLANTA,GA
Data Analyst,SKIM,ATLANTA,GA
Data Analyst,ResMed,ATLANTA,GA
Data Scientist,Smith Hanley Associates,ATLANTA,GA
Data Scientist,"Xpect SVC, LLC",ATLANTA,GA
Data Engineer,Optomi,ATLANTA,GA
Data Scientist,R&D Partners,ATLANTA,GA
Data Scientist,Matrix Resources,ATLANTA,GA
Data Engineer,Feedzai,ATLANTA,GA
Data Scientist,"Elavon, Inc.",ATLANTA,GA
Data Scientist,Cardinal Solutions,ATLANTA,GA
Data Scientist,Operation HOPE,ATLANTA,GA
Data Scientist,The Coca-Cola Company,ATLANTA,GA
Data Scientist,U.S. Bank,ATLANTA,GA
Data Scientist,Catalina Marketing,ATLANTA,GA
Data Analyst,"Happy Faces Personnel Group, Inc.",ATLANTA,GA
Data Scientist,Premierehire,AUSTIN,TX
Data Scientist,Clockwork Solutions,AUSTIN,TX
Data Scientist,Amazon.com,AUSTIN,TX
Data Scientist,Prestige Staffing,AUSTIN,TX
Data Analyst,Applied Systems Inc.,AUSTIN,TX
Data Scientist,HireStarter,AUSTIN,TX
Data Scientist,"RetailMeNot, Inc.",AUSTIN,TX
Data Scientist,IBM,AUSTIN,TX
Data Scientist,Clockwork Solutions,AUSTIN,TX
Data Engineer,Keller Williams,AUSTIN,TX
Data Analyst,Wholefoods,AUSTIN,TX
Data Analyst,IHS Markit,AUSTIN,TX
Data Scientist,Valkyrie Intelligence,AUSTIN,TX
Data Scientist,"ScaleFactor, Inc.",AUSTIN,TX
Data Scientist,SPK Consultants Inc,AUSTIN,TX
Data Engineer,Clockwork Solutions,AUSTIN,TX
Data Engineer,BlackLocus,AUSTIN,TX
Data Scientist,Atlas Wearables,AUSTIN,TX
Data Scientist,KEYW Corporation,AUSTIN,TX
Data Scientist,Applied Systems Inc.,AUSTIN,TX
Data Scientist,SHI International Corp.,AUSTIN,TX
Data Scientist,BlackLocus,AUSTIN,TX
Data Scientist,Recurly,BOULDER,CO
Data Scientist,Splunk,BOULDER,CO
Data Scientist,Gaia International Inc.,BOULDER,CO
Data Scientist,CA Technologies,BOULDER,CO
Data Scientist,Trimble Inc.,BOULDER,CO
Data Scientist,"Miragen Therapeutics, Inc.",BOULDER,CO
Data Engineer,"Pandora Media, Inc.",BOULDER,CO
Data Engineer,Partners HealthCare(PHS),BOSTON,MA
Data Scientist,MARC USA LLC,BOSTON,MA
Data Scientist,Tessella,BOSTON,MA
Data Scientist,Bose,BOSTON,MA
Data Analyst,MFS Investment Management,BOSTON,MA
Data Scientist,Thomson Reuters,BOSTON,MA
Data Scientist,Darwin Recruitment,BOSTON,MA
Data Analyst,Harvard Pilgrim Health Care,BOSTON,MA
Data Engineer,Cervello Inc,BOSTON,MA
Data Scientist,Workbridge Associates,BOSTON,MA
Data Engineer,Vertex Pharmaceuticals,BOSTON,MA
Data Engineer,Vertex,BOSTON,MA
Data Scientist,Partners HealthCare(PHS),BOSTON,MA
Data Engineer,Pluralsight,BOSTON,MA
Data Engineer,Klaviyo,BOSTON,MA
Data Engineer,Manulife Financial,BOSTON,MA
Data Engineer,Soroco,BOSTON,MA
Data Scientist,"Lynx, Inc.",BOSTON,MA
Data Engineer,Spotify,BOSTON,MA
Data Engineer,Data+Math,BOSTON,MA
Data Engineer,Manulife,BOSTON,MA
Data Engineer,John Hancock,BOSTON,MA
Data Analyst,"Jenzabar, Inc",BOSTON,MA
Data Engineer,Burst Inc.,BOSTON,MA
Data Engineer,Twitter,BOSTON,MA
Data Scientist,Cugene Inc,BOSTON,MA
Data Scientist,Vertex,BOSTON,MA
Data Scientist,Vertex Pharmaceuticals,BOSTON,MA
Data Scientist,Indigo,BOSTON,MA
Data Scientist,AP Staffing,BOSTON,MA
Data Scientist,R&D Partners,BOSTON,MA
Data Engineer,Harnham,BOSTON,MA
Data Engineer,TetraScience,BOSTON,MA
Data Scientist,Darwin Recruitment,BOSTON,MA
Data Scientist,ProClinical,BOSTON,MA
Data Scientist,Biotech Partners,BOSTON,MA
Data Analyst,Nucleus Research,BOSTON,MA
Data Scientist,True Fit,BOSTON,MA
Data Scientist,Harnham,BOSTON,MA
Data Scientist,Klaviyo,BOSTON,MA
Data Scientist,Nanigans,BOSTON,MA
Data Scientist,Wayfair,BOSTON,MA
Data Scientist,LogMeIn,BOSTON,MA
Data Scientist,ViralGains Inc.,BOSTON,MA
Data Scientist,Skyhook Wireless,BOSTON,MA
Data Scientist,NDT.com,BOSTON,MA
Data Engineer,MGH & BWH Center for Clinical Data Science,BOSTON,MA
Data Scientist,Lightmatter,BOSTON,MA
Data Scientist,Daley and Associates,BOSTON,MA
Data Scientist,Humana,BOSTON,MA
Data Analyst,Grata Data,BOSTON,MA
Data Scientist,Diverse Lynx,BOSTON,MA
Data Scientist,Harnham,BOSTON,MA
Data Scientist,Harnham,BOSTON,MA
Data Scientist,Commonwealth of Massachusetts,BOSTON,MA
Data Scientist,Pluralsight,BOSTON,MA
Data Scientist,Bevi,BOSTON,MA
Data Scientist,Schireson,BOSTON,MA
Data Scientist,S&P Global Ratings,BOSTON,MA
Data Scientist,Hometap,BOSTON,MA
Data Scientist,Amazon.com,BOSTON,MA
Data Scientist,Klaviyo,BOSTON,MA
Data Scientist,Massachusetts Eye and Ear Infirmary,BOSTON,MA
Data Scientist,Akili Interactive,BOSTON,MA
Data Scientist,OM1,BOSTON,MA
Data Scientist,Neurable,BOSTON,MA
Data Scientist,Peloton,BOSTON,MA
Data Scientist,Chewy,BOSTON,MA
Data Scientist,Celect,BOSTON,MA
Data Scientist,ENGIE Insight,BOSTON,MA
Data Scientist,John Hancock,BOSTON,MA
Data Scientist,MFS Investment Management,BOSTON,MA
Data Scientist,Natixis Investment Managers,BOSTON,MA
Data Scientist,Analysis Group,BOSTON,MA
Data Scientist,Darwin Recruitment,BOSTON,MA
Data Analyst,TrueMotion,BOSTON,MA
Data Scientist,Recorded Future,BOSTON,MA
Data Scientist,Pluralsight,BOSTON,MA
Data Scientist,NORC at the University of Chicago,CHICAGO,IL
Data Scientist,RCG Holdings LLC,CHICAGO,IL
Data Analyst,JLL,CHICAGO,IL
Data Scientist,Uptake,CHICAGO,IL
Data Scientist,Motorola Solutions,CHICAGO,IL
Data Scientist,Conversant Media,CHICAGO,IL
Data Scientist,Trunk Club,CHICAGO,IL
Data Scientist,Civis Analytics,CHICAGO,IL
Data Scientist,Fibroblast,CHICAGO,IL
Data Scientist,NORC at the University of Chicago,CHICAGO,IL
Data Scientist,Capax Global LLC,CHICAGO,IL
Data Scientist,Epsilon,CHICAGO,IL
Data Scientist,Kemper Corporation,CHICAGO,IL
Data Scientist,Equity Residential,CHICAGO,IL
Data Scientist,Maven Wave Partners,CHICAGO,IL
Data Scientist,Nielsen,CHICAGO,IL
Data Analyst,Northwestern University,CHICAGO,IL
Data Scientist,Trunk Club,CHICAGO,IL
Data Scientist,"SPINS, LLC",CHICAGO,IL
Data Scientist,Conversant Media,CHICAGO,IL
Data Scientist,AXIS Insurance,CHICAGO,IL
Data Scientist,Robert Walters,CHICAGO,IL
Data Scientist,MARC USA LLC,CHICAGO,IL
Data Scientist,S.C. International,CHICAGO,IL
Data Scientist,Jobspring Partners,CHICAGO,IL
Data Scientist,NORC at the University of Chicago,CHICAGO,IL
Data Engineer,Gallup,CHICAGO,IL
Data Analyst,JLL,CHICAGO,IL
Data Scientist,Nielsen,CHICAGO,IL
Data Engineer,Uptake,CHICAGO,IL
Data Scientist,Tempus,CHICAGO,IL
Data Scientist,Klein Hersh International,CHICAGO,IL
Data Engineer,AbbVie,CHICAGO,IL
Data Analyst,NORC at the University of Chicago,CHICAGO,IL
Data Analyst,Nuveen,CHICAGO,IL
Data Scientist,ConAgra Foods,CHICAGO,IL
Data Scientist,Conagra Brands,CHICAGO,IL
Data Scientist,Solving IT,CHICAGO,IL
Data Analyst,World Business Chicago,CHICAGO,IL
Data Engineer,Label Insight,CHICAGO,IL
Data Engineer,Civis Analytics,CHICAGO,IL
Data Scientist,American Nursing Services,CHICAGO,IL
Data Analyst,The University of Chicago,CHICAGO,IL
Data Scientist,BrainWorks,CHICAGO,IL
Data Engineer,Civis Analytics,CHICAGO,IL
Data Analyst,NORC at the University of Chicago,CHICAGO,IL
Data Analyst,Market Track,CHICAGO,IL
Data Analyst,JLL,CHICAGO,IL
Data Engineer,Strike Social,CHICAGO,IL
Data Scientist,84.51Â°,CHICAGO,IL
Data Analyst,Kantar Millward Brown,CHICAGO,IL
Data Engineer,ServiceNow,CHICAGO,IL
Data Analyst,Neuberger Berman,CHICAGO,IL
Data Engineer,ThoughtWorks,CHICAGO,IL
Data Analyst,BMO Financial Group,CHICAGO,IL
Data Engineer,Discover Financial Services,CHICAGO,IL
Data Scientist,"Quadratic Systems, Inc.",CHICAGO,IL
Data Analyst,KCS Partners,CHICAGO,IL
Data Scientist,"Transworld Systems, Inc. (TSI)",CHICAGO,IL
Data Scientist,Performics,CHICAGO,IL
Data Scientist,Outcome Health,CHICAGO,IL
Data Scientist,The University of Chicago,CHICAGO,IL
Data Scientist,Scienaptic Systems Inc,CHICAGO,IL
Data Scientist,Cars.com,CHICAGO,IL
Data Analyst,CMIC Group,CHICAGO,IL
Data Analyst,American Council of Life Insurers,WASHINGTON,DC
Data Analyst,"Lionshare Lending, LLC",WASHINGTON,DC
Data Scientist,American Institutes for Research,WASHINGTON,DC
Data Scientist,General Electric,WASHINGTON,DC
Data Scientist,Perspecta,WASHINGTON,DC
Data Scientist,Criterion Systems,WASHINGTON,DC
Data Scientist,"The Cadmus Group, Inc.",WASHINGTON,DC
Data Scientist,"T. White Parker Associates, Incorporated",WASHINGTON,DC
Data Scientist,Technica,WASHINGTON,DC
Data Scientist,Advantage SCI,WASHINGTON,DC
Data Scientist,Vanda Pharmaceuticals Inc.,WASHINGTON,DC
Data Scientist,AFL-CIO,WASHINGTON,DC
Data Scientist,US Agency for International Development,WASHINGTON,DC
Data Scientist,Grant Thornton,WASHINGTON,DC
Data Scientist,"CGH Technologies, Inc.",WASHINGTON,DC
Data Scientist,Lexington Solutions Group,WASHINGTON,DC
Data Scientist,Coso IT,WASHINGTON,DC
Data Analyst,Service Employees International Union,WASHINGTON,DC
Data Scientist,Jacobs,WASHINGTON,DC
Data Scientist,Harnham,WASHINGTON,DC
Data Scientist,HighPoint,WASHINGTON,DC
Data Analyst,Atlantic Media,WASHINGTON,DC
Data Analyst,JLL,WASHINGTON,DC
Data Engineer,Gallup,WASHINGTON,DC
Data Analyst,Bloomberg BNA,WASHINGTON,DC
Data Analyst,Delmock Technologies Inc.,WASHINGTON,DC
Data Engineer,"GreenZone Solutions, Inc.",WASHINGTON,DC
Data Analyst,"LS Technologies, LLC",WASHINGTON,DC
Data Analyst,Unisys,WASHINGTON,DC
Data Analyst,Penn Schoen Berland,WASHINGTON,DC
Data Scientist,N C Q A,WASHINGTON,DC
Data Analyst,Feeding America,WASHINGTON,DC
Data Analyst,FrameWorks Institute,WASHINGTON,DC
Data Analyst,Centra Technology,WASHINGTON,DC
Data Analyst,LEWIS,WASHINGTON,DC
Data Engineer,Novetta,WASHINGTON,DC
Data Analyst,Newmark Knight Frank,WASHINGTON,DC
Data Engineer,Will-N-Able,WASHINGTON,DC
Data Scientist,MedStar Health Research Institute,WASHINGTON,DC
Data Scientist,ERPi,WASHINGTON,DC
Data Analyst,Applied Memetics LLC,WASHINGTON,DC
Data Engineer,Quantronix Inc,WASHINGTON,DC
Data Analyst,"Summit Technologies, Inc.",WASHINGTON,DC
Data Scientist,Booz Allen Hamilton,WASHINGTON,DC
Data Scientist,LaunchCode,WASHINGTON,DC
Data Scientist,Manthan Systems,WASHINGTON,DC
Data Scientist,Camris International,WASHINGTON,DC
Data Scientist,Base Operations,WASHINGTON,DC
Data Scientist,"Tygart Technology, Inc.",WASHINGTON,DC
Data Scientist,Central Intelligence Agency,WASHINGTON,DC
Data Scientist,U.S. Federal Government,WASHINGTON,DC
Data Analyst,"SHIELDS for Families, Inc.",LOS,"Angeles,"
Data Analyst,Investigative Company,LOS,"Angeles,"
Data Scientist,Talent & Acquisition LLC,LOS,"Angeles,"
Data Scientist,Fox Networks Group,LOS,"Angeles,"
Data Engineer,ZestFinance,LOS,"Angeles,"
Data Scientist,Pray,LOS,"Angeles,"
Data Scientist,HIRECLOUT,LOS,"Angeles,"
Data Scientist,Assembly,LOS,"Angeles,"
Data Scientist,SAP,LOS,"Angeles,"
Data Scientist,"DeepCurrent Technologies, Inc.",LOS,"Angeles,"
Data Scientist,Conversion Logic,LOS,"Angeles,"
Data Scientist,Honey,LOS,"Angeles,"
Data Scientist,GOAT,LOS,"Angeles,"
Data Scientist,Cedars-Sinai,LOS,"Angeles,"
Data Scientist,Internet Brands,LOS,"Angeles,"
Data Scientist,Lieberman Research Worldwide,LOS,"Angeles,"
Data Scientist,Taboola,LOS,"Angeles,"
Data Scientist,Netflix,LOS,"Angeles,"
Data Scientist,Joymode,LOS,"Angeles,"
Data Scientist,AXS Group LLC,LOS,"Angeles,"
Data Analyst,Uptown Treehouse,LOS,"Angeles,"
Data Scientist,Harnham,LOS,"Angeles,"
Data Scientist,Ranker,LOS,"Angeles,"
Data Scientist,true[x],LOS,"Angeles,"
Data Engineer,Loomly,LOS,"Angeles,"
Data Scientist,ZestFinance,LOS,"Angeles,"
Data Scientist,Capital Group,LOS,"Angeles,"
Data Analyst,JLL,LOS,"Angeles,"
Data Engineer,Virgin Hyperloop One,LOS,"Angeles,"
Data Scientist,GB HealthWatch,LOS,"Angeles,"
Data Analyst,Cushman & Wakefield,LOS,"Angeles,"
Data Engineer,Velocity,LOS,"Angeles,"
Data Scientist,Harnham,LOS,"Angeles,"
Data Analyst,Volunteers of America Los Angeles,LOS,"Angeles,"
Data Analyst,The Expert Institute,LOS,"Angeles,"
Data Analyst,Twitter,LOS,"Angeles,"
Data Scientist,ZestFinance,LOS,"Angeles,"
Data Analyst,DCS Corp,LOS,"Angeles,"
Data Engineer,ZestFinance,LOS,"Angeles,"
Data Analyst,Kantar Millward Brown,LOS,"Angeles,"
Data Engineer,LT,LOS,"Angeles,"
Data Engineer,Conversion Logic,LOS,"Angeles,"
Data Analyst,Marcus & Associates,LOS,"Angeles,"
Data Analyst,"Lockstep, Inc.",LOS,"Angeles,"
Web Developer,Voxelcloud,LOS,"Angeles,"
Data Analyst,Penn Schoen Berland,LOS,"Angeles,"
Data Scientist,Alnylam,CAMBRIDGE,MA
Data Scientist,Amazon.com,CAMBRIDGE,MA
Data Scientist,Biogen,CAMBRIDGE,MA
Data Analyst,Amazon.com,CAMBRIDGE,MA
Data Scientist,Panjiva,CAMBRIDGE,MA
Data Analyst,Panjiva,CAMBRIDGE,MA
Data Scientist,Voluntis,CAMBRIDGE,MA
Data Scientist,Department of Transportation,CAMBRIDGE,MA
Data Scientist,edX,CAMBRIDGE,MA
Data Scientist,BitSight,CAMBRIDGE,MA
Data Scientist,Sanofi,CAMBRIDGE,MA
Data Scientist,UnitedHealth Group,CAMBRIDGE,MA
Data Scientist,Amazon.com,CAMBRIDGE,MA
Data Scientist,Solid Biosciences,CAMBRIDGE,MA
Data Scientist,Shire Pharmaceuticals,CAMBRIDGE,MA
Data Analyst,Harvard University,CAMBRIDGE,MA
Data Engineer,Lightelligence,CAMBRIDGE,MA
Data Scientist,Sanofi,CAMBRIDGE,MA
Data Scientist,Beclyn Group Recruiting,CAMBRIDGE,MA
Data Engineer,Broad Institute,CAMBRIDGE,MA
Data Scientist,VIE HIRE,CAMBRIDGE,MA
Data Scientist,R&D Partners,CAMBRIDGE,MA
Data Scientist,Abcam,CAMBRIDGE,MA
Data Scientist,Harvard University,CAMBRIDGE,MA
Data Scientist,MIT,CAMBRIDGE,MA
Data Scientist,Agios Pharmaceuticals,CAMBRIDGE,MA
Data Scientist,SmartPharm Therapeutics,CAMBRIDGE,MA
Data Engineer,Natero,MOUNTAIN,"View,"
Data Scientist,JD.com,MOUNTAIN,"View,"
Data Scientist,UserTesting,MOUNTAIN,"View,"
Data Scientist,23andMe,MOUNTAIN,"View,"
Data Scientist,Frequence,MOUNTAIN,"View,"
Data Scientist,YourMechanic,MOUNTAIN,"View,"
Data Scientist,American Century Investments,MOUNTAIN,"View,"
Data Scientist,Tubular Labs,MOUNTAIN,"View,"
Data Scientist,Foghorn Systems,MOUNTAIN,"View,"
Data Scientist,Coursera,MOUNTAIN,"View,"
Data Scientist,Guardian Analytics,MOUNTAIN,"View,"
Data Scientist,Upwork,MOUNTAIN,"View,"
Data Scientist,Symantec,MOUNTAIN,"View,"
Data Scientist,JD.com,MOUNTAIN,"View,"
Data Scientist,Intuit,MOUNTAIN,"View,"
Data Scientist,h2o.ai,MOUNTAIN,"View,"
Data Scientist,Samsung Research America,MOUNTAIN,"View,"
Data Engineer,Varstaff,MOUNTAIN,"View,"
Data Scientist,Redfish Technology - High Tech Executive Recruiters,MOUNTAIN,"View,"
Data Scientist,Payette Group,MOUNTAIN,"View,"
Data Engineer,Foghorn Systems,MOUNTAIN,"View,"
Data Engineer,JD.com,MOUNTAIN,"View,"
Data Analyst,Synopsys,MOUNTAIN,"View,"
Data Engineer,Workbridge Associates,MOUNTAIN,"View,"
Data Analyst,IntelliPro Group Inc.,MOUNTAIN,"View,"
Data Engineer,SPAR Information Systems,MOUNTAIN,"View,"
Data Scientist,Payette Group,MOUNTAIN,"View,"
Data Scientist,Payette Group,MOUNTAIN,"View,"
Data Engineer,"ViewRay, Inc.",MOUNTAIN,"View,"
Data Engineer,Coursera,MOUNTAIN,"View,"
Data Scientist,fractalanalytics,JERSEY,"City,"
Data Scientist,Blackboard Insurance,NEW,"York,"
Data Scientist,Foursquare,NEW,"York,"
Data Scientist,Prudential,NEWARK,NJ
Data Scientist,"J.Crew Group, Inc.",NEW,"York,"
Data Scientist,Capital One,NEW,"York,"
Data Scientist,Sweeten,NEW,"York,"
Data Scientist,"Edison Software, Inc.",NEW,"York,"
Data Scientist,Organic,NEW,"York,"
Data Analyst,New York University,NEW,"York,"
Data Scientist,Northwestern Mutual Life Insurance Company,NEW,"York,"
Data Scientist,Hanweck Associates,NEW,"York,"
Data Scientist,Parsec Media,NEW,"York,"
Data Scientist,Gemological Institute of America,NEW,"York,"
Data Scientist,Capgemini,NEW,"York,"
Data Scientist,Shutterstock,NEW,"York,"
Data Scientist,Rauxa,NEW,"York,"
Data Scientist,S&P Global,NEW,"York,"
Data Scientist,SQAD LLC,NEW,"York,"
Data Scientist,Wade & Wendy,NEW,"York,"
Data Scientist,Aetna,NEW,"York,"
Data Scientist,Rent the Runway,NEW,"York,"
Data Scientist,Verizon,NEW,"York,"
Data Scientist,Trialspark,NEW,"York,"
Data Scientist,605,NEW,"York,"
Data Scientist,Dirty Lemon Beverages,NEW,"York,"
Data Scientist,Thomas Publishing Company LLC,NEW,"York,"
Data Scientist,New York State Office of the Attorney General,NEW,"York,"
Data Scientist,Hearts and Science,NEW,"York,"
Data Scientist,National Debt Relief,NEW,"York,"
Data Scientist,Talent & Acquisition LLC,NEW,"York,"
Data Scientist,"Liberty Lending, LLC",NEW,"York,"
Data Scientist,Invesco,NEW,"York,"
Data Scientist,Custoria,NEW,"York,"
Data Scientist,Neuberger Berman,NEW,"York,"
Data Scientist,Transfix.io,NEW,"York,"
Data Scientist,Vettery,NEW,"York,"
Data Scientist,FanDuel,NEW,"York,"
Data Scientist,Datadog,NEW,"York,"
Data Scientist,Schireson,NEW,"York,"
Data Scientist,Komodo Health,NEW,"York,"
Data Scientist,Integral Ad Science,NEW,"York,"
Data Scientist,T. Rowe Price,NEW,"York,"
Data Scientist,"Bombfell, Inc.",NEW,"York,"
Data Scientist,Annalect,NEW,"York,"
Data Scientist,Tapestry,NEW,"York,"
Data Scientist,Reorg Research,NEW,"York,"
Data Scientist,7Park Data,NEW,"York,"
Data Scientist,Ipsos North America,NEW,"York,"
Data Scientist,Conde Nast,NEW,"York,"
Data Scientist,Intent Media,NEW,"York,"
Data Scientist,ITL USA,NEW,"York,"
Data Scientist,Bluecore,NEW,"York,"
Data Scientist,Morgan Stanley,NEW,"York,"
Data Scientist,Alphasights: Engineering,NEW,"York,"
Data Scientist,Oath Inc,NEW,"York,"
Data Scientist,AdTheorent,NEW,"York,"
Data Scientist,Fractal Analytics,JERSEY,"City,"
Data Scientist,"Two Sigma Investments, LLC.",NEW,"York,"
Data Scientist,SGS,RUTHERFORD,NJ
Data Scientist,Interactive Brokers,NEW,"York,"
Data Scientist,Bed Bath & Beyond,UNION,NJ
Data Scientist,Sapient Global Markets,NEW,"York,"
Data Scientist,3Q Digital,NEW,"York,"
Data Scientist,AllianceBernstein,NEW,"York,"
Data Scientist,Fareportal Inc.,NEW,"York,"
Data Scientist,Elsevier,NEW,"York,"
Data Scientist,Sartorius Corporation,NEW,"York,"
Data Scientist,Rockstar New York,NEW,"York,"
Data Scientist,thoughtmatrix,NEW,"York,"
Data Scientist,Daugherty New York,NEW,"York,"
Data Scientist,PlaceIQ,NEW,"York,"
Data Scientist,Viome,NEW,"York,"
Data Scientist,BuzzFeed,NEW,"York,"
Data Scientist,CBRE,NEW,"York,"
Data Scientist,Verra Mobility,JERSEY,"City,"
Data Scientist,Rockets of Awesome,NEW,"York,"
Data Scientist,The New York Times,NEW,"York,"
Data Analyst,DEPARTMENT OF FINANCE,MANHATTAN,NY
Data Scientist,Nielsen,NEW,"York,"
Data Engineer,Adaptive Management,NEW,"York,"
Data Analyst,SKIM,HOBOKEN,NJ
Data Analyst,The New School,NEW,"York,"
Data Engineer,Averity,NEW,"York,"
Data Scientist,"GENEWIZ, Inc.",SOUTH,"Plainfield,"
Data Analyst,Insider Inc.,NEW,"York,"
Data Analyst,Credit Suisse,NEW,"York,"
Data Engineer,Pager,NEW,"York,"
Data Scientist,Bonobos,NEW,"York,"
Data Scientist,Averity,NEW,"York,"
Data Scientist,DataMasters,NEW,"York,"
Data Analyst,Cognizant,NEW,"York,"
Data Analyst,Research Now,NEW,"York,"
Data Scientist,SiriusXM,NEW,"York,"
Data Analyst,"Two Sigma Investments, LLC.",NEW,"York,"
Data Analyst,Diligent,NEW,"York,"
Data Scientist,Quest Groups LLC,NEW,"York,"
Data Engineer,ThoughtWorks,NEW,"York,"
Data Engineer,"J.Crew Group, Inc.",NEW,"York,"
Data Analyst,AllianceBernstein,NEW,"York,"
Data Scientist,Certara,PARSIPPANY,NJ
Data Analyst,RBC,NEW,"York,"
Data Scientist,DigitasLBi,NEW,"York,"
Data Scientist,Fluid Intelligence,NEW,"York,"
Data Engineer,PulsePoint,NEW,"York,"
Data Scientist,Betterment LLC,NEW,"York,"
Data Scientist,IQ Workforce,NEW,"York,"
Data Analyst,Acuris,NEW,"York,"
Data Scientist,Newsela,NEW,"York,"
Data Analyst,King.com,NEW,"York,"
Data Analyst,Altice USA,NEW,"York,"
Data Engineer,NYP/Weill Cornell Medical Center,NEW,"York,"
Data Scientist,ROKT,NEW,"York,"
Data Scientist,AXIS Insurance,NEW,"York,"
